,Total poids chargeKg],Total poids charge combustible [Kg],Total composant charge M +F + C + fines [Kg],Total humide [Kg],Densite de chargement [t/m3],Permeabilite avant allumage [Nm3/m2/mn],Humidite sur sec [%/sec],TOP SPEED [min],FE total [Kg],CaO [Kg],SiO2 [Kg],Al2O3 [Kg],MN [Kg],TiO2 [Kg],H20 HYD [Kg],Fe++ [Kg],Graphite [Kg],Charbon [Kg],Carbone [Kg],H2O SA [Kg],H2O DI [Kg],H2O ADD [Kg],Numerical Serie,"Mailles > 2,5mm  Poids [Kg]","Mailles < 1,25mm   Poids [Kg]","Mailles > 2,5mm  %","Mailles < 1,25mm    %",After,Fines de retour chargees %,Total poids charge %
1071,111.904759,5.371428,156.666664,200.0,1.973615,23.616895,7.6,24.1,59.49288897,9.210666031,5.442134952000001,1.458162033,0.392722995,0.102900996,1.4062899759999998,0.54094403,0.020350962,5.384605034,4.597374984,0.206850026,0.198099971,11.95092896,5482,16.760647,12.45133,42.549999,31.610001,1,0.25142857449240125,0.7142857079027356
978,106.978453,5.776836,150.411705,200.0,1.917626,25.22219,8.7,24.0,57.46210103,8.322119994,4.853021995,1.5729280419999998,0.378913052,0.190668985,1.562142028,3.702171031,0.032550023,5.801436982,4.614927009,0.198099968,0.189720996,13.15804896,5380,18.451644,10.378108,49.0,27.559999,0,0.2503556222569248,0.7112375529550709
284,118.31755,6.27083,166.23616,250.0,2.101923,24.948444,6.5,21.700001,65.62544603,11.01007299,6.470499051,0.917442017,0.020844017,0.16765602,0.300677941,1.098227034,0.008219278,6.342619965,5.4153289860000005,1.220094002,1.0626060309999998,10.99812197,4648,19.851015,13.620245,47.664042,32.703412,0,0.2505338128599698,0.7117437626085684
503,120.116617,6.149971,168.54763799999995,200.0,2.125252,21.735906,7.6,25.1,67.18595595,8.755715983,5.48708902,1.249289963,0.249297988,0.092996994,0.427981949,0.468252965,0.062639943,6.171205041,5.268974997,0.210661029,0.20125903,12.86914502,4883,19.90169,12.388347,47.07,29.299999,0,0.25085519145631696,0.7126567801561242
876,128.76261499999998,3.283447,160.373837,200.0,2.00161,21.861912,7.5,25.299999,56.12112003,22.01615301,7.352437029,1.86443197,0.6681140010000001,0.185777029,0.0,3.152370958,1.800621006,3.2681750430000003,2.481852049,0.0,0.0,11.97209305,5278,14.200714,7.957272,50.130001,28.09,0,0.1766358873112202,0.8028904053720431
2080,119.717216,6.787966,168.645643,200.0,2.120587,16.299822,7.3,27.799999,64.952037,10.27453904,6.029436962,1.21672004,0.082118025,0.151856054,0.997822036,0.5841850470000001,0.121311004,6.805377952000001,5.403469978,0.368860028,0.353257003,12.36850004,6550,21.55906,10.880667,51.16,25.82,1,0.2498757765120561,0.7098743487846879
1190,118.963878,4.9964830000000005,165.835647,200.0,2.094925,20.226056,8.3,27.120001,64.00979401,9.70125599,5.808563006,1.586717044,0.47418603,0.180157987,1.533037005,0.564936945,0.5688249879999999,4.990161045,4.158850027,0.219082988,0.209815968,13.76435898,5606,20.058263,12.550023,47.900002,29.969999,1,0.2525107644679072,0.7173601101577396
882,118.067976,5.3720930000000005,164.999997,200.0,2.078595,20.107933,7.6,29.5,64.72841805,9.363991973,5.492977042000001,1.393230982,0.330888048,0.13481499,1.873318945,3.414788053,0.095492057,5.385824949,4.284315997,0.200076058,0.191612962,12.58661703,5285,19.217312,12.588503,46.240002,30.290001,0,0.2518783621553641,0.7155635039193364
585,113.58361399999998,5.622389,159.18743700000005,200.0,2.010941,23.250166,7.9,29.799999,61.83697797,9.834285008,5.680730948,1.121850026,0.121132999,0.081286989,2.098273005,2.499993976,0.048739015,5.636129982000001,4.483428994,0.209951947,0.201071016,12.62242805,4966,17.52786,12.138364,43.84,30.360001,0,0.2511594743497252,0.7135212183860965
373,112.818679,5.810162,158.341017,200.0,2.003943,21.861911,8.0,26.0,60.73354496,9.342925055,5.716410004,1.328870984,0.137980986,0.093678992,2.107440992,3.179354987,0.057446976,5.830737001,4.978282965,0.197879047,0.17233698600000005,12.72592601,4738,17.679861,11.889826,44.52,29.940001,0,0.2508015721536006,0.712504448547277
2196,115.77767,6.251994,162.783406,200.0,2.060165,15.704938,8.1,26.4,62.14016404,10.62276399,6.214400041,1.169576993,0.326238038,0.149630025,0.023193009,0.7603439540000001,0.160161967,6.262020034,4.935723979,0.35637996,0.34130499700000005,13.23424597,6669,16.611224,14.019288,40.759998,34.400002,1,0.2503556228575288,0.7112375446917482
2647,121.771201,7.184500999999999,159.398502,450.0,1.978281,26.531827000000003,6.4,23.5,63.56740797,14.26809603,6.966248977999999,1.0783599940000002,0.055305024,0.084641004,0.826596958,0.574296045,0.06343195900000001,7.16867794,5.720605034,0.363206987,0.351056973,10.20150406,7150,16.396493,6.630442,53.860001,21.780001,1,0.1909854836653358,0.763941940934928
81,118.501391,5.865819,166.079701,200.0,2.090259,22.124189,7.4,25.0,64.44992796,9.886771011,6.152674006,1.131366969,0.178432961,0.169061993,0.7123909979999999,3.806322033,0.037182941,5.886157032000001,5.025600952,0.206626991,0.197351986,12.34711395,4424,20.103701,11.632194,48.195878,27.886597,0,0.2511594779424609,0.7135212207541245
1519,105.188839,5.259442,147.474754,200.0,1.873301,10.945866,8.35,43.5,56.28803098,8.978037051,5.323764963,1.246769026,0.284253005,0.078285988,1.393497996,2.989471963,0.022980961,5.279490045,4.397814979,0.194700043,0.186464015,12.37665004,5971,15.169746,13.729417000000002,40.970001,37.080002,1,0.25106990176772903,0.7132667534403888
1016,113.965331,5.584301,159.66543,200.0,2.003943,19.469422,7.6,26.66,61.34406699,9.854502958,5.720072026,1.3683579730000002,0.076151039,0.218068947,1.460885002,3.711747945,0.317960992,5.577271035,4.436608057,0.209879039,0.20100102600000005,12.13457303,5419,19.793135,11.589454,49.34,28.889999,0,0.2512491151027495,0.7137758687024486
